Outlet_Identifier,Item_Identifier,Item_Outlet_Sales
OUT049,FDC28,1648.9598
OUT049,NCX53,2422.613
OUT049,DRB25,1584.5747
OUT049,FDK16,1456.1732
OUT049,NCP14,1917.6858
OUT049,FDH50,3110.7266
OUT049,NCJ06,2123.9849
OUT049,FDQ51,635.9581
OUT049,FDS45,1501.901
OUT049,FDU32,1869.7869
OUT049,FDY27,3508.0068
OUT049,NCZ41,1649.8488
OUT049,FDR24,1311.4259
OUT049,NCG18,1823.7098
OUT049,FDH53,1441.4763
OUT049,FDO56,2006.595
OUT049,FDE22,2537.3464
OUT049,NCA29,3190.0085
OUT049,NCP43,2434.2988
OUT049,FDX28,1410.3933
OUT049,FDF08,1684.7144
OUT049,FDD10,1987.4108
OUT049,FDQ49,1929.0225
OUT049,FDG20,2471.5886
OUT049,FDS07,1970.0092
OUT049,NCM31,2135.5708
OUT049,NCE43,3145.6777
OUT049,FDW59,1362.4163
OUT049,FDS22,701.06805
OUT049,FDK50,3105.3357
OUT049,FDD59,1339.3619
OUT049,NCO18,3071.583
OUT049,NCM19,2228.4075
OUT049,FDX23,1394.9347
OUT049,NCM29,2156.4426
OUT049,FDI02,1624.9868
OUT049,FDN10,1826.9347
OUT049,FDV23,1986.2743
OUT049,FDY28,3716.9565
OUT049,DRH49,1164.9033
OUT049,NCN54,1280.2863
OUT049,FDM56,1926.1399
OUT049,FDU43,4317.722
OUT049,NCT29,1906.7024
OUT049,FDK46,5018.96
OUT049,FDW20,2072.8484
OUT049,FDM32,1450.527
OUT049,FDZ55,2786.1313
OUT049,FDY37,2271.5378
OUT049,FDG40,784.28296
OUT049,FDA16,4867.26
OUT049,NCM17,806.2881
OUT049,FDP15,5979.4897
OUT049,FDT04,567.4942
OUT049,FDU51,2993.72
OUT049,NCT18,4171.1978
OUT049,FDC32,1298.4747
OUT049,FDX16,2743.3054
OUT049,FDG58,2532.0435
OUT049,DRH36,1252.9736
OUT049,FDF38,580.2997
OUT049,FDC52,2167.5718
OUT049,FDQ34,1660.0397
OUT049,DRI13,4339.9697
OUT049,NCF42,2588.1455
OUT049,FDX60,1197.4226
OUT049,NCX17,2522.0435
OUT049,FDY50,935.7315
OUT049,FDX12,3429.7812
OUT049,NCT06,2648.5757
OUT049,FDZ36,3658.2185
OUT049,FDA11,1403.2096
OUT049,FDD56,3093.8142
OUT049,DRC49,2021.7268
OUT049,NCU29,2636.51
OUT049,FDO31,1268.114
OUT049,NCW42,3418.656
OUT049,NCM54,2073.886
OUT049,FDX13,4256.089
OUT049,FDR14,747.2705
OUT049,FDP57,1685.7521
OUT049,FDB51,853.95874
OUT049,FDE40,935.5448
OUT049,FDX02,4169.3022
OUT049,NCY06,2463.534
OUT049,NCW30,4537.496
OUT049,FDU28,3270.1992
OUT049,FDG22,596.0771
OUT049,FDN08,1766.2899
OUT049,NCK19,3250.8606
OUT049,FDT27,3418.7917
OUT049,FDT36,643.35614
OUT049,FDI41,3504.8374
OUT049,FDQ48,1580.5961
OUT049,FDC21,1474.2833
OUT049,FDK57,1838.8629
OUT049,FDG34,1817.0907
OUT049,DRJ35,738.86035
OUT049,NCP50,1178.7615
OUT049,FDU57,2366.9448
OUT049,NCJ54,4827.1934
OUT049,FDQ59,1211.52
OUT049,DRF15,2040.8219
OUT049,NCR42,279.67508
OUT049,DRH13,1377.3726
OUT049,FDT02,554.9835
OUT049,FDF26,2509.6938
OUT049,FDX59,331.41513
OUT049,FDN38,4225.7812
OUT049,NCL55,5651.7764
OUT049,FDI19,4127.786
OUT049,NCU30,2537.4104
OUT049,FDZ13,731.5781
OUT049,FDV59,4457.9067
OUT049,FDX24,1331.4163
OUT049,FDT10,1025.465
OUT049,FDG56,1153.5813
OUT049,FDD45,1238.0411
OUT049,FDU03,2696.7683
OUT049,FDX22,3686.1084
OUT049,NCX42,3136.206
OUT049,NCD43,1414.2155
OUT049,NCF55,978.4161
OUT049,FDI36,3349.968
OUT049,FDN40,2257.6182
OUT049,NCQ18,1530.901
OUT049,FDZ16,4193.673
OUT049,FDP11,2802.746
OUT049,DRJ39,4403.7026
OUT049,DRM37,4337.154
OUT049,FDE51,500.44205
OUT049,FDV10,613.1463
OUT049,FDJ32,1028.2831
OUT049,DRG13,2844.8467
OUT049,NCW06,3410.2058
OUT049,FDW40,2296.4421
OUT049,FDE23,598.88965
OUT049,FDS14,2176.1985
OUT049,FDY16,2989.3584
OUT049,FDT51,1340.5929
OUT049,FDS04,2113.999
OUT049,FDW32,1165.2988
OUT049,FDF46,1906.8145
OUT049,NCY30,2817.8047
OUT049,FDI33,1447.5984
OUT049,NCY29,791.00806
OUT049,FDP07,2537.3445
OUT049,NCG07,3452.7869
OUT049,FDX38,841.7907
OUT049,FDT14,2245.0527
OUT049,NCR17,1944.5631
OUT049,FDF40,5024.9272
OUT049,NCO43,2139.0977
OUT049,NCK30,4487.6753
OUT049,FDZ19,2846.4072
OUT049,FDO34,3147.0642
OUT049,FDZ25,2979.0952
OUT049,FDU08,1052.0065
OUT049,FDB58,2498.2048
OUT049,NCP29,1107.9066
OUT049,NCB43,3451.716
OUT049,FDY40,627.8089
OUT049,FDX49,3564.2617
OUT049,DRG01,990.12177
OUT049,NCV05,2160.8362
OUT049,FDB02,3443.535
OUT049,FDK09,4030.433
OUT049,FDG04,2884.3413
OUT049,FDO60,760.52765
OUT049,FDA57,918.6838
OUT049,FDQ23,2012.5088
OUT049,DRG03,2447.123
OUT049,FDN09,4219.249
OUT049,FDU35,1603.1669
OUT049,NCX30,5612.514
OUT049,FDL21,614.6219
OUT049,FDR46,2668.7893
OUT049,FDJ22,2966.075
OUT049,FDD35,1927.3176
OUT049,DRK59,3031.5745
OUT049,FDI21,993.3416
OUT049,FDA31,3124.45
OUT049,FDK56,4016.1475
OUT049,FDB36,2481.1736
OUT049,NCZ29,1922.6161
OUT049,FDW31,2551.2546
OUT049,FDP37,2431.8333
OUT049,NCO55,1845.1136
OUT049,FDN12,1733.8541
OUT049,NCP41,1614.1099
OUT049,FDK55,1186.6433
OUT049,FDM33,4179.2485
OUT049,FDP59,1126.795
OUT049,FDC57,2862.38
OUT049,FDE50,2875.3748
OUT049,FDJ41,5153.4424
OUT049,NCA18,1825.5323
OUT049,FDH40,1368.286
OUT049,FDP36,955.2554
OUT049,NCB42,1783.725
OUT049,FDY21,3962.6206
OUT049,NCH43,3869.4487
OUT049,FDE45,3290.0488
OUT049,FDX55,4003.3965
OUT049,FDY09,2762.5952
OUT049,FDL03,2725.4568
OUT049,DRL59,644.6704
OUT049,FDA43,3022.4363
OUT049,FDW28,3242.5354
OUT049,FDN22,3720.4556
OUT049,FDU60,3063.9587
OUT049,FDQ08,1028.35
OUT049,FDY25,3061.7754
OUT049,FDA37,1967.0352
OUT049,NCE18,4200.4766
OUT049,FDD39,4124.007
OUT049,FDB41,832.5113
OUT049,FDV28,599.5699
OUT049,FDZ43,3697.664
OUT049,FDW39,2623.5012
OUT049,NCK05,1034.6351
OUT049,NCJ19,913.61194
OUT049,FDI24,3830.6143
OUT049,DRM47,3608.546
OUT049,FDP20,1848.8403
OUT049,FDB32,1727.3602
OUT049,FDT46,1141.8297
OUT049,DRH25,1015.36456
OUT049,NCC19,4577.18
OUT049,FDG47,4958.3765
OUT049,DRJ49,2064.6743
OUT049,FDE05,2410.1653
OUT049,FDA51,1763.9622
OUT049,FDI58,1682.1406
OUT049,FDO04,830.8407
OUT049,FDZ50,3899.356
OUT049,DRJ13,2224.7817
OUT049,DRI51,2403.303
OUT049,FDA58,2632.7356
OUT049,DRG25,4006.6084
OUT049,FDU52,2257.2976
OUT049,FDQ47,651.0976
OUT049,FDC48,1557.4062
OUT049,NCQ54,3401.4775
OUT049,FDC33,3176.2202
OUT049,FDK45,1817.1423
OUT049,FDP23,3612.2244
OUT049,FDK22,3587.3018
OUT049,FDZ57,2155.8457
OUT049,FDO21,2707.4912
OUT049,FDD26,3647.226
OUT049,FDN51,5544.6016
OUT049,FDM57,1137.4095
OUT049,FDB35,1431.7473
OUT049,FDM45,1956.4722
OUT049,FDP31,595.4249
OUT049,FDB44,3166.1208
OUT049,FDS60,1787.622
OUT049,FDE53,1138.9677
OUT049,NCG54,3264.5479
OUT049,FDS25,1757.0265
OUT049,FDY02,3827.659
OUT049,FDW15,2444.7036
OUT049,NCA17,2217.6787
OUT049,FDR52,3152.1658
OUT049,NCT17,2883.5933
OUT049,FDO10,899.6058
OUT049,FDE32,622.5736
OUT049,FDO48,3226.1296
OUT049,FDZ39,1375.9093
OUT049,FDS09,815.8296
OUT049,FDD11,2823.9863
OUT049,FDA36,3243.7334
OUT049,NCG43,1521.5708
OUT049,FDJ33,2203.2114
OUT049,DRE01,4130.8213
OUT049,FDK04,935.1937
OUT049,NCZ17,776.23553
OUT049,FDW34,4092.2402
OUT049,FDL44,2684.8816
OUT049,NCD30,1654.016
OUT049,FDE24,2253.268
OUT049,FDV36,2452.4648
OUT049,FDU40,2994.5542
OUT049,FDZ14,1894.6584
OUT049,FDD58,1902.359
OUT049,FDX48,2508.317
OUT049,FDQ11,3845.4292
OUT049,FDY12,871.57056
OUT049,FDS12,2281.5623
OUT049,FDF50,3074.7395
OUT049,FDY60,2316.7983
OUT049,FDU58,3376.905
OUT049,FDA28,2184.133
OUT049,DRC24,2384.7708
OUT049,FDK14,1354.8168
OUT049,NCF54,2936.7754
OUT049,FDS10,2038.8533
OUT049,FDJ48,4349.212
OUT049,FDZ38,3737.5493
OUT049,FDM38,753.0663
OUT049,FDN03,2472.2942
OUT049,FDM15,2259.3193
OUT049,FDF58,817.57635
OUT049,FDN02,3276.8538
OUT049,FDF12,2080.9033
OUT049,DRJ37,2573.5698
OUT049,FDC20,794.1556
OUT049,NCE55,3302.8901
OUT049,NCF19,554.33673
OUT049,FDS49,1509.4354
OUT049,FDL08,4049.4548
OUT049,FDS03,1476.1268
OUT049,DRH15,903.6666
OUT049,FDJ28,3379.2197
OUT049,FDM40,1836.2728
OUT049,FDQ44,2587.5881
OUT049,NCT05,4442.0415
OUT049,FDC47,3867.2278
OUT049,FDM01,1549.8115
OUT049,FDR25,5138.8022
OUT049,NCY53,1768.7222
OUT049,FDF32,3498.267
OUT049,FDT03,1914.0773
OUT049,FDR55,3255.29
OUT049,FDM12,2786.3623
OUT049,NCT53,2917.3604
OUT049,FDY08,2639.1548
OUT049,NCP55,803.6752
OUT049,NCV53,5969.965
OUT049,FDX52,3295.0115
OUT049,FDC35,3199.4504
OUT049,NCN42,2578.6133
OUT049,FDQ20,619.9827
OUT049,DRM11,3406.9
OUT049,FDU38,3667.457
OUT049,FDM13,1495.077
OUT049,FDY32,3289.4653
OUT049,FDA47,2830.485
OUT049,NCN19,2848.794
OUT049,NCP02,1201.5139
OUT049,FDK24,1217.443
OUT049,FDW14,1309.5697
OUT049,FDU47,2301.9392
OUT049,FDB04,1392.6765
OUT049,NCG06,3272.098
OUT049,FDK33,3695.5557
OUT049,FDR03,3008.6958
OUT049,FDW38,1318.9973
OUT049,NCZ05,1623.3898
OUT049,DRG11,1931.3676
OUT049,FDE46,1833.0752
OUT049,NCI30,4565.7134
OUT049,NCO06,336.5751
OUT049,NCL54,3231.1611
OUT049,NCA54,3326.943
OUT049,NCS38,2089.463
OUT049,FDC02,5966.793
OUT049,FDH41,3622.9963
OUT049,FDH32,1933.766
OUT049,NCA42,3010.7112
OUT049,FDL38,1539.6278
OUT049,FDO23,1494.969
OUT049,FDD03,3530.3044
OUT049,NCQ41,3197.7144
OUT049,FDW04,1902.9043
OUT049,NCO14,747.8139
OUT049,FDR26,1827.4825
OUT049,FDP27,3757.9172
OUT049,FDM03,1839.2495
OUT049,NCD18,4088.7227
OUT049,FDB38,2536.8237
OUT049,NCB06,2674.084
OUT049,FDM34,1984.9205
OUT049,FDO44,1820.7123
OUT049,FDT60,2303.3784
OUT049,FDX25,3196.2083
OUT049,DRD49,3254.1963
OUT049,DRC01,635.4772
OUT049,NCE42,2098.5708
OUT049,NCK42,4022.3848
OUT049,FDG28,3484.9973
OUT049,FDM14,1964.5702
OUT049,NCH29,1536.9014
OUT049,FDD48,2496.984
OUT049,FDX10,509.90253
OUT049,FDC11,1320.8618
OUT049,NCQ17,2956.6704
OUT049,NCH06,3498.5974
OUT049,FDQ19,4582.219
OUT049,DRI01,3778.7727
OUT049,DRE48,2908.9348
OUT049,FDR49,803.71027
OUT049,FDS39,2353.874
OUT049,DRM35,3380.087
OUT049,FDC23,2708.332
OUT049,FDT11,3591.9392
OUT049,NCR29,874.0806
OUT049,FDZ34,4154.2866
OUT049,NCR05,1696.4242
OUT049,FDP26,1341.1812
OUT049,NCI17,1333.9921
OUT049,FDZ02,1275.1084
OUT049,FDM25,3104.505
OUT049,FDU56,3275.4473
OUT049,FDB23,2364.495
OUT049,FDN48,1616.4496
OUT049,NCL53,3535.585
OUT049,FDX31,4306.1465
OUT049,FDH08,4680.185
OUT049,FDG32,3442.5486
OUT049,FDQ60,2191.1033
OUT049,FDK34,2744.734
OUT049,FDM52,2463.1753
OUT049,NCJ43,3321.6929
OUT049,FDP01,1558.7733
OUT049,NCF18,3560.3909
OUT049,FDQ37,4632.9546
OUT049,NCN53,665.075
OUT049,FDX50,1814.7115
OUT049,FDV21,2562.1394
OUT049,FDH04,939.6939
OUT049,FDL45,2013.5708
OUT049,NCE07,2012.2417
OUT049,FDI20,4976.632
OUT049,FDX43,1967.4183
OUT049,FDP52,3948.1
OUT049,FDA55,3802.1873
OUT049,FDC53,1073.7532
OUT049,FDQ12,3331.1733
OUT049,FDW02,2868.5176
OUT049,FDE44,914.88916
OUT049,FDW55,4178.43
OUT049,NCW17,2528.2139
OUT049,FDG10,761.99664
OUT049,NCP53,4088.8672
OUT049,FDT37,4266.7397
OUT049,FDJ40,1900.4819
OUT049,NCV06,3800.338
OUT049,FDO08,2931.133
OUT049,FDQ28,3184.8843
OUT049,FDS48,2124.9963
OUT049,DRJ23,3402.9924
OUT049,FDR01,3169.4993
OUT049,NCE06,2495.811
OUT049,NCH54,3173.0737
OUT049,FDL56,1371.8363
OUT049,FDJ14,1062.6538
OUT049,FDN45,2268.3713
OUT049,DRF48,2451.6072
OUT049,FDZ37,1236.9575
OUT049,FDS13,3483.4106
OUT049,FDH02,1305.1769
OUT049,NCU53,1826.4762
OUT049,NCT41,2214.954
OUT049,FDJ07,2180.294
OUT049,FDD20,2371.806
OUT049,FDI40,1758.35
OUT049,FDC58,431.52438
OUT049,FDR07,1247.113
OUT049,DRC25,1345.9697
OUT049,FDL12,909.5216
OUT049,FDQ55,2477.0728
OUT049,FDA25,1656.5729
OUT049,FDE02,1432.948
OUT049,FDC50,1488.1655
OUT049,FDZ32,1319.2834
OUT049,FDB26,1060.5181
OUT049,FDT12,4456.499
OUT049,NCK31,857.8766
OUT049,FDM02,1059.5249
OUT049,FDP33,4839.1396
OUT049,DRF37,4297.704
OUT049,FDV08,909.48474
OUT049,DRA12,2177.2534
OUT049,FDZ28,2086.8843
OUT049,FDV51,2435.8186
OUT049,FDE39,2146.2905
OUT049,FDX40,607.0868
OUT049,FDU39,1413.0961
OUT049,FDF28,1924.4495
OUT049,FDR57,1993.301
OUT049,FDT13,3826.9744
OUT049,FDL52,666.0403
OUT049,FDL40,1412.9854
OUT049,FDX35,2955.38
OUT049,FDQ45,2975.0618
OUT049,FDN39,2965.3835
OUT049,NCX05,2016.424
OUT049,FDE52,1340.4484
OUT049,FDK41,1347.2294
OUT049,FDE56,995.7521
OUT049,DRC36,2623.2744
OUT049,DRJ47,2678.4578
OUT049,FDL33,3315.067
OUT049,FDL28,3629.3083
OUT049,FDI22,3809.5151
OUT049,FDO03,5334.2837
OUT049,FDD33,3815.8076
OUT049,NCL07,734.6998
OUT049,FDJ03,754.3581
OUT049,FDK36,741.46857
OUT049,NCO41,1835.3156
OUT049,NCE54,1543.7267
OUT049,FDY48,1764.304
OUT049,FDT35,2031.7228
OUT049,FDJ57,3779.5735
OUT049,NCK06,1773.5321
OUT049,FDA26,4429.536
OUT049,FDD16,1444.3435
OUT049,NCV18,1639.4716
OUT049,FDC39,3636.6477
OUT049,FDU48,2606.2415
OUT049,NCN06,3113.598
OUT049,DRG36,3122.561
OUT049,FDU37,1386.3796
OUT049,FDK10,1994.3955
OUT049,FDW01,2310.0195
OUT049,FDC56,2613.0835
OUT049,FDJ26,2457.5317
OUT049,DRJ01,1843.761
OUT049,FDG59,312.2684
OUT049,FDB28,2959.3853
OUT049,FDD09,3224.6165
OUT049,FDJ46,2967.9814
OUT049,FDW37,1410.9465
OUT049,FDM09,3063.1738
OUT049,NCN17,1655.2026
OUT049,NCB55,944.8046
OUT049,FDK28,5923.878
OUT049,FDY22,2678.6143
OUT049,FDN04,2228.61
OUT049,FDI16,884.78577
OUT049,FDM50,981.72003
OUT049,NCV30,1176.6884
OUT049,FDT40,2037.4446
OUT049,FDA22,3105.134
OUT049,FDP51,2353.8098
OUT049,NCJ17,1191.5093
OUT049,NCI43,663.0307
OUT049,NCL17,2128.5227
OUT049,FDY43,3280.6714
OUT049,FDR36,873.6796
OUT049,FDJ58,3137.8818
OUT049,DRK37,5075.5835
OUT049,FDA01,931.10376
OUT049,NCH42,5137.9966
OUT049,FDW46,1263.9863
OUT017,FDW14,1519.4612
OUT017,FDQ58,2532.8777
OUT017,FDA36,3321.2249
OUT017,FDT44,1633.6964
OUT017,FDU59,1378.3313
OUT017,NCF18,3423.4785
OUT017,NCY54,2821.7222
OUT017,FDS31,3052.2336
OUT017,FDJ20,1733.8663
OUT017,FDL51,3604.8738
OUT017,FDR07,1273.8833
OUT017,FDA22,3405.5364
OUT017,FDY27,2174.5796
OUT017,FDN57,2685.4016
OUT017,FDK60,1360.8201
OUT017,FDZ25,3469.0684
OUT017,NCO06,460.82175
OUT017,NCC07,1580.5414
OUT017,FDV04,2008.9045
OUT017,NCH54,2757.3933
OUT017,FDV24,2311.16
OUT017,NCE19,1024.5463
OUT017,FDC22,3008.0952
OUT017,FDV45,3476.4407
OUT017,FDO16,2353.4226
OUT017,FDB14,1695.6008
OUT017,NCN07,2094.0078
OUT017,FDC53,1490.836
OUT017,NCW17,2320.519
OUT017,FDG35,3425.9128
OUT017,NCO07,4741.506
OUT017,FDW36,1449.2563
OUT017,FDY19,2312.6174
OUT017,FDO09,3031.7227
OUT017,FDW58,1810.9686
OUT017,FDC47,5134.0317
OUT017,FDI35,3942.1438
OUT017,NCY30,3441.7524
OUT017,FDK33,5057.687
OUT017,NCF31,2176.495
OUT017,DRD60,2855.7722
OUT017,FDW02,3137.2993
OUT017,NCD43,1878.1073
OUT017,FDA58,3179.9536
OUT017,FDP58,3504.4058
OUT017,FDV49,3886.1978
OUT017,NCO55,1823.3145
OUT017,FDR13,2268.2976
OUT017,FDS51,916.1191
OUT017,FDF32,3387.3633
OUT017,DRM48,533.57947
OUT017,FDA03,2498.7874
OUT017,FDY24,1247.7676
OUT017,FDZ43,4779.0376
OUT017,FDL57,5736.56
OUT017,FDK40,4541.032
OUT017,FDS48,2561.0413
OUT017,DRE13,1569.9373
OUT017,FDP20,2218.8657
OUT017,FDV23,1836.8303
OUT017,NCA18,1542.7045
OUT017,FDM32,1572.2762
OUT017,NCL07,498.1499
OUT017,FDP59,1400.8712
OUT017,FDE28,3143.706
OUT017,FDQ55,2193.4426
OUT017,FDU14,3538.8567
OUT017,NCP41,1658.042
OUT017,FDX07,3633.5127
OUT017,FDA51,1937.0316
OUT017,FDF20,2972.1975
OUT017,FDW04,2020.7299
OUT017,FDK52,4678.093
OUT017,FDS21,932.12177
OUT017,NCI06,3380.461
OUT017,FDX27,1867.4332
OUT017,FDG05,2494.9202
OUT017,FDA56,2141.2446
OUT017,NCG42,2174.8035
OUT017,FDJ10,1719.7225
OUT017,NCB18,1807.2085
OUT017,FDX08,3390.929
OUT017,FDJ36,1338.8329
OUT017,FDN49,545.8639
OUT017,FDV25,4310.1465
OUT017,FDC57,3438.9402
OUT017,FDU23,2970.9404
OUT017,NCU29,2741.3333
OUT017,FDB02,2978.7156
OUT017,FDQ07,3931.982
OUT017,DRK47,3924.5256
OUT017,NCL30,1979.024
OUT017,FDT45,844.35175
OUT017,NCV29,2570.4688
OUT017,FDI24,3244.222
OUT017,FDV11,3686.74
OUT017,FDS08,1969.88
OUT017,FDB05,4494.02
OUT017,FDN45,3952.6084
OUT017,NCM55,4066.1882
OUT017,FDC23,3765.3274
OUT017,FDO58,2562.6353
OUT017,FDI50,4371.5713
OUT017,DRG27,763.94586
OUT017,FDU60,3821.2979
OUT017,DRJ39,4648.6143
OUT017,FDF58,998.3182
OUT017,FDW24,700.9084
OUT017,FDX02,4295.5923
OUT017,FDB56,2080.9883
OUT017,FDJ45,455.48566
OUT017,NCA54,3617.7163
OUT017,FDQ59,1205.2832
OUT017,FDT38,1452.8629
OUT017,FDE22,3167.8186
OUT017,FDQ22,882.8975
OUT017,NCT05,5380.642
OUT017,FDL38,1689.708
OUT017,FDZ31,3251.7134
OUT017,FDK08,1728.8812
OUT017,FDA02,1865.7587
OUT017,NCC54,4051.751
OUT017,NCR30,1031.6147
OUT017,NCN18,1853.1516
OUT017,FDA26,4840.715
OUT017,NCL05,692.339
OUT017,DRJ47,2918.9875
OUT017,NCG18,1743.9835
OUT017,FDN31,3062.5671
OUT017,FDD40,3836.8313
OUT017,FDH26,2454.268
OUT017,FDI36,3565.3076
OUT017,FDF29,2216.8403
OUT017,FDY51,3546.601
OUT017,FDY37,2634.7678
OUT017,FDQ03,3168.3289
OUT017,FDJ40,1643.8212
OUT017,NCW54,1143.9465
OUT017,FDF09,718.16156
OUT017,FDS59,1927.8418
OUT017,FDR35,2677.2056
OUT017,FDK15,1654.3986
OUT017,DRG03,2251.9312
OUT017,NCS38,1990.9369
OUT017,FDI10,2813.1353
OUT017,DRB01,2905.55
OUT017,FDU36,1699.1946
OUT017,FDK21,6236.765
OUT017,FDO44,1716.1592
OUT017,FDY01,2277.5977
OUT017,FDV33,3291.294
OUT017,DRE12,1136.018
OUT017,FDV02,3082.3284
OUT017,FDP09,4969.7427
OUT017,FDT19,2292.1873
OUT017,DRH15,726.4058
OUT017,NCR06,669.1906
OUT017,FDZ37,1203.1588
OUT017,FDS58,3004.3
OUT017,NCR29,902.0175
OUT017,NCY17,677.61487
OUT017,FDV35,2370.3342
OUT017,DRF15,2376.2231
OUT017,FDE35,827.19385
OUT017,FDQ12,3109.654
OUT017,FDH08,2772.7551
OUT017,FDB45,1444.2773
OUT017,NCM54,2157.1392
OUT017,NCT06,2012.1858
OUT017,DRL59,750.25867
OUT017,FDK56,2993.086
OUT017,FDU04,2095.329
OUT017,NCS54,3517.944
OUT017,NCN41,2129.8423
OUT017,FDY32,2459.9133
OUT017,FDX59,441.89725
OUT017,FDM14,2182.523
OUT017,FDV31,2376.0095
OUT017,NCS06,3748.683
OUT017,FDI19,3947.5654
OUT017,FDT22,943.491
OUT017,FDB59,3036.873
OUT017,FDQ37,3619.928
OUT017,FDO33,1973.1354
OUT017,NCJ19,679.4748
OUT017,FDP19,2521.4395
OUT017,FDG44,955.56006
OUT017,FDE50,3286.9763
OUT017,FDX51,3086.7139
OUT017,FDK46,4427.2466
OUT017,FDY59,1218.1062
OUT017,FDM09,2458.5977
OUT017,NCJ29,1235.0328
OUT017,FDT51,1501.1237
OUT017,DRC49,2667.272
OUT017,FDA19,2564.8435
OUT017,FDX12,4788.3086
OUT017,FDD14,2914.4314
OUT017,NCA30,3370.0771
OUT017,FDT15,3343.412
OUT017,FDF10,2655.1606
OUT017,FDX21,1584.2025
OUT017,NCK18,3147.2446
OUT017,DRN36,1532.5435
OUT017,FDQ57,2506.4817
OUT017,FDQ27,2005.3191
OUT017,FDW27,2825.1375
OUT017,NCN30,1431.4506
OUT017,DRG01,1317.0901
OUT017,FDU58,2696.1477
OUT017,NCQ54,3852.0945
OUT017,FDT20,753.0679
OUT017,FDD58,1820.4863
OUT017,NCC42,2465.8154
OUT017,NCP43,3034.2422
OUT017,FDQ19,4731.5654
OUT017,FDN38,3717.3953
OUT017,FDW40,2673.709
OUT017,FDR58,1652.6884
OUT017,NCD30,1743.4115
OUT017,FDE14,1810.4194
OUT017,FDT33,2556.2717
OUT017,FDE52,1451.5557
OUT017,FDI32,1860.7148
OUT017,FDY34,3378.7344
OUT017,FDA55,4374.9297
OUT017,NCG54,2942.2708
OUT017,DRG11,1669.4562
OUT017,FDQ60,2268.1082
OUT017,FDT36,479.60364
OUT017,FDU52,2122.9827
OUT017,NCM18,1305.5757
OUT017,FDV26,3215.8088
OUT017,NCK06,2243.4844
OUT017,FDW08,1873.6837
OUT017,FDS24,1339.7169
OUT017,DRG23,2036.9971
OUT017,FDP23,4415.5938
OUT017,FDE38,2552.2869
OUT017,NCN43,2293.0298
OUT017,FDV03,2654.4502
OUT017,FDM27,2815.0837
OUT017,FDZ34,3809.1318
OUT017,FDU45,2118.6753
OUT017,FDG31,1051.5001
OUT017,DRK37,4747.762
OUT017,FDO25,3770.6433
OUT017,FDW55,3048.335
OUT017,FDV21,2358.102
OUT017,NCQ41,3670.6824
OUT017,NCT42,1922.7491
OUT017,FDB46,3412.2146
OUT017,FDN03,4687.8804
OUT017,FDQ10,3313.531
OUT017,FDN01,1605.9144
OUT017,DRG37,2361.646
OUT017,NCH18,3415.1626
OUT017,FDV14,1358.1576
OUT017,FDW16,1542.4738
OUT017,FDS60,2851.3767
OUT017,FDV58,3366.0913
OUT017,FDM10,3112.54
